text,labels
我最近工作壓力好大,舒壓;抗焦慮
晚上很難入睡,助眠;睡眠
希望能增加一些財運,招財;財運
想找個好對象,愛情;桃花;姻緣
最近感覺諸事不順,保護;開運;消除負能量
最近工作壓力大、業績也不好，晚上都睡不著,舒壓;事業;助眠;抗焦慮
希望能有勇氣面對新的挑戰，並且專注在目標上,勇氣;專注;事業;自信
生活壓力很大，感覺喘不過氣,舒壓;抗焦慮;身心平衡
最近情緒起伏不定，很容易焦慮,穩定情緒;抗焦慮;舒壓
想找回內心的平靜和放鬆,平靜;放鬆;靜心
事情太多，腦子很亂，需要靜心,專注;靜心;清晰
身心俱疲，需要好好休息充電,療癒;正能量;生命力
我睡眠品質很差，多夢而且很淺,睡眠;助眠
半夜總是會醒來，然後就睡不著了,助眠;睡眠;抗焦慮
希望能一覺到天亮，深層休息,睡眠;助眠
長期失眠，精神很差,助眠;健康;療癒
因為焦慮而影響了睡眠,助眠;抗焦慮;舒壓
希望提升業績，增加收入,事業;招財;財運
最近手頭有點緊，想改善財務狀況,招財;聚財
我的投資一直沒什麼起色,招財;事業;財運
希望能增加一些偏財運,偏財;招財
如何才能守住財富，不亂花錢？,聚財;穩財;理性
我跟伴侶的關係好像變淡了,愛情;情感守護
希望能吸引到好的正緣,愛情;姻緣;桃花
如何增進我的人際關係與桃花運？,人際;人緣;桃花
在感情中常常沒有安全感,愛情;保護;安心;穩定情緒
想結束單身，尋找靈魂伴侶,愛情;姻緣
最近身邊好像小人很多,防小人;保護;辟邪
想淨化一下家裡和辦公室的磁場,淨化;穩定磁場;消磁
出差在外，希望能平安順利,保平安;保護
很容易受到別人負面情緒的影響,保護;抗負能量;穩定情緒
覺得運氣不太好，想辟邪轉運,辟邪;開運;消除負能量
我在工作上遇到了瓶頸，想突破,事業;勇氣;開運
對於職涯規劃感到很迷惘,事業;智慧;清晰
面試快到了，希望能有好表現,事業;自信;保平安
如何提升我的領導能力和同事的關係？,事業;溝通;人際
想換工作，但沒有方向,事業;勇氣;智慧
我需要勇氣去做一個重大的決定,勇氣;決斷;智慧
面對新環境或新挑戰時，我會感到害怕,勇氣;勇敢;抗焦慮
希望能克服內心的恐懼與不安全感,勇氣;保護;安心
想更有自信地表達自己的想法,自信;表達;勇氣
缺乏行動力，總是想很多但不敢做,勇氣;決斷;正能量
工作或讀書時，思緒很難集中,專注;清晰;靜心
我的腦子裡總是有太多雜念,專注;靜心;消除負能量
希望能提升學習和工作的效率,專注;事業
記憶力好像變差了,記憶力;專注;健康
如何保持頭腦清晰，做出正確判断？,清晰;理性;邏輯;智慧
剛換新工作，壓力大到失眠，很怕自己表現不好被討厭。,事業;舒壓;助眠;保護;抗焦慮
準備一場重要的考試，希望能專心讀書，也需要一點運氣來保護自己。,專注;保護;勇氣;開運
跟另一半因為錢的事情吵架，對我們的未來感到沒信心。,愛情;招財;勇氣;舒壓;情感守護
